iter	Passed	Remaining
0	157	157703
1	159	79671
2	161	53586
3	162	40523
4	164	32668
5	165	27392
6	166	23653
7	168	20839
8	169	18667
9	170	16910
10	172	15492
11	173	14321
12	175	13327
13	177	12476
14	178	11736
15	180	11087
16	181	10518
17	183	9997
18	184	9531
19	185	9113
20	187	8736
21	188	8399
22	190	8082
23	191	7792
24	193	7533
25	194	7288
26	196	7072
27	197	6863
28	198	6662
29	200	6479
30	202	6314
31	203	6163
32	205	6016
33	207	5882
34	208	5755
35	225	6031
36	226	5902
37	228	5782
38	230	5667
39	231	5555
40	232	5449
41	234	5344
42	235	5246
43	237	5149
44	238	5061
45	240	4981
46	241	4898
47	242	4819
48	245	4757
49	246	4687
50	248	4623
51	250	4558
52	251	4495
53	253	4437
54	255	4383
55	256	4328
56	258	4282
57	260	4235
58	262	4180
59	263	4125
60	264	4072
61	266	4029
62	268	3987
63	269	3945
64	271	3902
65	272	3860
66	273	3814
67	274	3763
68	275	3720
69	276	3679
70	278	3638
71	279	3601
72	281	3571
73	282	3538
74	284	3509
75	286	3481
76	287	3447
77	288	3412
78	289	3379
79	291	3349
80	292	3317
81	293	3287
82	295	3264
83	296	3238
84	298	3208
85	299	3182
86	300	3150
87	301	3123
88	302	3096
89	303	3070
90	304	3044
91	305	3019
92	307	2995
93	308	2976
94	310	2958
95	312	2939
96	313	2922
97	315	2900
98	316	2878
99	317	2856
100	318	2835
101	319	2809
102	320	2789
103	321	2769
104	323	2755
105	324	2738
106	326	2722
107	327	2705
108	328	2689
109	330	2672
110	331	2657
111	333	2641
112	334	2624
113	335	2610
114	337	2598
115	339	2585
116	340	2573
117	342	2560
118	343	2546
119	346	2543
120	348	2530
121	350	2522
122	351	2509
123	354	2501
124	355	2488
125	357	2477
126	358	2463
127	359	2448
128	360	2434
129	361	2420
130	362	2406
131	364	2394
132	365	2384
133	367	2374
134	368	2362
135	369	2349
136	371	2337
137	371	2323
138	373	2311
139	374	2299
140	375	2287
141	376	2275
142	377	2263
143	379	2253
144	380	2245
145	382	2234
146	383	2223
147	384	2212
148	385	2201
149	386	2190
150	387	2179
151	388	2169
152	389	2158
153	391	2148
154	392	2139
155	393	2130
156	395	2124
157	397	2117
158	398	2108
159	399	2099
160	401	2090
161	402	2080
162	403	2071
163	404	2061
164	405	2053
165	406	2044
166	408	2037
167	410	2030
168	411	2022
169	412	2014
170	413	2006
171	414	1997
172	416	1989
173	417	1980
174	418	1972
175	420	1967
176	421	1961
177	423	1955
178	425	1949
179	426	1942
180	427	1932
181	428	1925
182	429	1918
183	430	1911
184	432	1904
185	433	1898
186	435	1892
187	437	1887
188	438	1882
189	440	1876
190	441	1871
191	443	1865
192	444	1859
193	445	1852
194	447	1845
195	448	1838
196	449	1831
197	450	1826
198	452	1822
199	454	1817
200	455	1811
201	456	1804
202	458	1798
203	459	1793
204	461	1788
205	462	1782
206	463	1776
207	465	1772
208	466	1767
209	468	1762
210	469	1756
211	470	1749
212	471	1743
213	473	1737
214	474	1731
215	475	1725
216	476	1719
217	477	1713
218	478	1707
219	480	1702
220	481	1698
221	483	1692
222	484	1687
223	485	1681
224	486	1675
225	487	1670
226	488	1664
227	489	1658
228	490	1653
229	492	1647
230	493	1642
231	494	1637
232	495	1632
233	497	1626
234	498	1621
235	499	1616
236	500	1610
237	501	1605
238	502	1600
239	503	1595
240	504	1590
241	506	1584
242	507	1579
243	508	1575
244	509	1570
245	510	1565
246	512	1560
247	513	1555
248	514	1551
249	515	1546
250	516	1541
251	517	1536
252	518	1531
253	519	1527
254	521	1522
255	522	1517
256	523	1513
257	524	1508
258	525	1503
259	526	1499
260	527	1494
261	529	1490
262	530	1487
263	532	1483
264	533	1478
265	534	1474
266	535	1470
267	536	1465
268	537	1461
269	539	1457
270	540	1452
271	541	1448
272	542	1444
273	543	1440
274	544	1436
275	545	1431
276	546	1427
277	548	1423
278	549	1419
279	550	1415
280	551	1411
281	552	1407
282	553	1403
283	554	1399
284	556	1395
285	557	1392
286	559	1388
287	560	1384
288	561	1381
289	562	1377
290	563	1373
291	564	1369
292	566	1365
293	567	1362
294	568	1358
295	569	1354
296	570	1350
297	571	1347
298	573	1343
299	574	1339
300	575	1335
301	576	1332
302	577	1328
303	578	1324
304	579	1320
305	580	1317
306	581	1313
307	583	1310
308	584	1307
309	585	1304
310	587	1300
311	588	1297
312	589	1293
313	590	1290
314	591	1286
315	592	1283
316	593	1279
317	595	1276
318	596	1272
319	597	1269
320	598	1265
321	599	1262
322	600	1259
323	601	1255
324	603	1252
325	604	1249
326	605	1245
327	606	1242
328	607	1239
329	608	1235
330	609	1232
331	611	1229
332	612	1226
333	613	1223
334	614	1220
335	615	1216
336	617	1213
337	618	1210
338	619	1207
339	620	1204
340	621	1201
341	622	1197
342	623	1194
343	625	1192
344	627	1191
345	629	1189
346	631	1187
347	632	1184
348	633	1181
349	634	1178
350	635	1175
351	636	1172
352	638	1169
353	639	1167
354	640	1164
355	641	1161
356	643	1158
